Series ID,year,period,label,value
LNS13000062,2014,M01,2014 Jan,2588
LNS13000062,2014,M02,2014 Feb,2676
LNS13000062,2014,M03,2014 Mar,2760
LNS13000062,2014,M04,2014 Apr,2579
LNS13000062,2014,M05,2014 May,2512
LNS13000062,2014,M06,2014 Jun,2413
LNS13000062,2014,M07,2014 Jul,2467
LNS13000062,2014,M08,2014 Aug,2496
LNS13000062,2014,M09,2014 Sep,2470
LNS13000062,2014,M10,2014 Oct,2413
LNS13000062,2014,M11,2014 Nov,2293
LNS13000062,2014,M12,2014 Dec,2237
LNS13000062,2015,M01,2015 Jan,2291
LNS13000062,2015,M02,2015 Feb,2125
LNS13000062,2015,M03,2015 Mar,2128
LNS13000062,2015,M04,2015 Apr,2285
LNS13000062,2015,M05,2015 May,2320
LNS13000062,2015,M06,2015 Jun,2067
LNS13000062,2015,M07,2015 Jul,2158
LNS13000062,2015,M08,2015 Aug,2066
LNS13000062,2015,M09,2015 Sep,2013
LNS13000062,2015,M10,2015 Oct,2083
LNS13000062,2015,M11,2015 Nov,2070
LNS13000062,2015,M12,2015 Dec,2085
LNS13000062,2016,M01,2016 Jan,2099
LNS13000062,2016,M02,2016 Feb,2011
LNS13000062,2016,M03,2016 Mar,2098
LNS13000062,2016,M04,2016 Apr,2087
LNS13000062,2016,M05,2016 May,1992
LNS13000062,2016,M06,2016 Jun,2029
LNS13000062,2016,M07,2016 Jul,1886
LNS13000062,2016,M08,2016 Aug,2117
LNS13000062,2016,M09,2016 Sep,2124
LNS13000062,2016,M10,2016 Oct,2057
LNS13000062,2016,M11,2016 Nov,1933
LNS13000062,2016,M12,2016 Dec,1976
LNS13000062,2017,M01,2017 Jan,1971
LNS13000062,2017,M02,2017 Feb,1956
LNS13000062,2017,M03,2017 Mar,1850
LNS13000062,2017,M04,2017 Apr,1983
LNS13000062,2017,M05,2017 May,2015
LNS13000062,2017,M06,2017 Jun,1826
LNS13000062,2017,M07,2017 Jul,1831
LNS13000062,2017,M08,2017 Aug,1874
LNS13000062,2017,M09,2017 Sep,1818
LNS13000062,2017,M10,2017 Oct,1699
LNS13000062,2017,M11,2017 Nov,1720
LNS13000062,2017,M12,2017 Dec,1700
LNS13000062,2018,M01,2018 Jan,1686
LNS13000062,2018,M02,2018 Feb,1786
LNS13000062,2018,M03,2018 Mar,1686
